item_id,split,provenance,question,reference_answer,model_answer,human_answer,human_rating,human_note,human_status,judge_rating
5705edcd52bb8914006896ca,calibration,public-reused,"З географічної точки зору, на якій широті розташована середня точка північно-південного напряму Каліфорнії?","37° 9' 58.23""","37° 9' 58.23""",,5,,rated,1.0
5705eee952bb8914006896de,calibration,public-reused,Яка країна раніше володіла Каліфорнією?,Мексика,Мексика.,,5,,rated,0.85
5705f09e75f01819005e77a4,calibration,public-reused,"Крім земельних законів, чим ще були незадоволені каліфорнійці?",несправедливими податками,"Земельні закони та несправедливі податки не були єдиними причинами незадоволеності каліфорнійців. Додатково вони були незадоволені рабовласницькими законами та політикою, яка дозволяла рабству в південній Каліфорнії.",,5,,rated,0.75
5705fb7f52bb891400689750,calibration,public-reused,Яка головна перешкода для подальшої урбанізації?,Кемп-Пендлтон,Кемп-Пендлтон.,,5,,rated,0.5
5705fd8475f01819005e7840,calibration,public-reused,Який термін найкраще описує сукупність ландшафтів Південної Каліфорнії?,найрізноманітніших,Інформація недостатня.,,2,,rated,0.55
5705ffde52bb891400689784,calibration,public-reused,"Який розлом може спричинити землетрус магнітудою 8,0?",Сан-Андреас,Дефект Сан-Андреас.,,5,,rated,0.9
57060eaf75f01819005e7910,calibration,public-reused,Який округ розвиває свій бізнес-центр?,Орандж,Інформація недостатня.,,2,,rated,0.55
5706111a52bb89140068984c,calibration,public-reused,Як називається система приміських залізничних перевезень?,Метролінк,Інформація недостатня.,,2,,rated,0.55
5706139252bb891400689864,calibration,public-reused,Яка назва вживається для опису регіону з різноманітною технологічною та промисловою базою?,Технологічне узбережжя,Технологічне узбережжя.,,5,,rated,1.0
57092322efce8f15003a7db0,calibration,public-reused,Яка компанія була створена внаслідок злиття Sky Television і British Satellite Broadcasting?,BSkyB,BSkyB.,,5,,rated,1.0
57094b4f9928a814004714f6,calibration,public-reused,З якого консорціуму була виключена BSkyB?,ONdigital,BSkyB була виключена з консорціуму ONdigital.,,5,,rated,1.0
57094d489928a8140047150a,calibration,public-reused,"Як називається система шифрування платного телебачення, яку використовує BSkyB?",VideoGuard,"Відома система шифрування платного телебачення, яку використовує BSkyB, називається VideoGuard.",,5,,rated,1.0
570963a5200fba1400367f33,calibration,public-reused,Під якою назвою раніше була відома компанія Sky UK Limited?,BSkyB,"Британська телекомунікаційна компанія, яка обслуговує Сполучене Королівство.",,3,,rated,0.6
57096b66200fba1400367fa7,calibration,public-reused,Коли BSkyB оголосила про свій намір замінити свої безкоштовні цифрові наземні канали?,8 лютого 2007 року,8 лютого 2007 року.,,5,,rated,1.0
57097b50200fba140036804d,calibration,public-reused,Скільком домогосподарствам у 2010 році стало доступним супутникове телебачення прямого доступу від BSkyB?,10 мільйонів,10 мільйонів домогосподарств.,,5,,rated,1.0
57097c8fed30961900e841f2,calibration,public-reused,На яку картку Алек Шелбрук запропонував здійснювати виплати допомоги?,Картку соціальних виплат,Картка соціальних виплат.,,5,,rated,0.85
570d2417fed7b91900d45c3d,calibration,public-reused,Якою є економіка Вікторії?,різноманітною,"Так. Економіка Вікторії дуже різноманітна та включає сектори обслуговування, охорони здоров'я, освіти, оптової та роздрібної торгівлі, гостинності та виробництва. Загальний валовий продукт штату Вікторія посідає друге місце в Австралії.",,5,,rated,0.85
570d26efb3d812140066d48f,calibration,public-reused,Яка система представництва у Вікторійській правовій раді?,багатомандатною пропорційною системою,Багатомандатна пропорційна система.,,5,,rated,1.0
570d28bdb3d812140066d4a3,calibration,public-reused,Яка політична партія найсильніша в робітничих передмістях Мельбурна?,Австралійська Партія праці,Центрально-ліва Австралійська Партія праці (ALP).,,5,,rated,1.0
570d2af0fed7b91900d45c93,calibration,public-reused,У якій частині Австралії розташована Вікторія?,на південному сході,Вікторія розташована на південному сході Австралії.,,5,,rated,1.0
570d2c20fed7b91900d45ca7,calibration,public-reused,Як називають корінних аборигенів Вікторії?,Коорі,Корі.,,5,,rated,1.0
570d391fb3d812140066d575,calibration,public-reused,Де знаходиться найхолодніша частина Вікторії?,Вікторіанські Альпи,Вікторіанські Альпи на північному сході є найхолоднішою частиною Вікторії.,,5,,rated,1.0
570d4a6bfed7b91900d45e13,calibration,public-reused,Коли було засновано колонію Нового Південного Уельсу?,1788,1788 рік.,,5,,rated,1.0
571077ecb654c5140001f909,calibration,public-reused,Де оселилися перші колоністи‑гюгениоти?,Кіп-Доброї-Надії,"Бухта Гуанабара, сучасний Ріо-де-Жанейро.",,5,,rated,1.0
57107a3ea58dae1900cd69de,calibration,public-reused,Біля якого південного міста оселилися гугеноти?,"Чарльстону, Південна Кароліна","Біля міста Нью-Рошель, що розташований на північ від Нью-Йорка.",,3,,rated,0.85
57107e6ca58dae1900cd69f2,calibration,public-reused,Яка саме група протистояла гугенотам?,Католицька церква у Франції,Католицька церква у Франції та її члени протистояли гугенотам.,,5,,rated,0.95
57108073b654c5140001f925,calibration,public-reused,"Як називалися громадянські війни, спричинені гугенотами?",повстання гугенотів,Повстання гугенотів.,,5,,rated,0.85
57108198b654c5140001f937,calibration,public-reused,Скільки протестантів сьогодні проживає у Франції?,один мільйон,Протестантів у Франції близько 1 мільйона осіб.,,5,,rated,1.0
571090abb654c5140001f995,calibration,public-reused,Де в Англії оселилися гюгеноти й волони?,Кентербері,Інформація відсутня.,,2,,rated,0.5
571094b7a58dae1900cd6a66,calibration,public-reused,Якої освіти вимагали від дітей гюгенотів після скасування едикту?,католицької освіти дітей,Діти гугенотів повинні були навчені католицькою освітою.,,5,,rated,0.85
571099b2b654c5140001f9b3,calibration,public-reused,Які два гугенотські квартали було створено в Берліні?,Доротенштадт і Фрідріхштадт,Доротенштадт та Фрідріхштадт.,,5,,rated,1.0
5710eca0a58dae1900cd6b3a,calibration,public-reused,У якій англійській колонії гугенотам пообіцяли землю?,Вірджинія,В Нижньому окрузі Норфолк.,,4,,rated,0.85
5710ed7bb654c5140001fa2b,calibration,public-reused,Коли тривало Голландське повстання?,1568–1609,Голландське повстання тривало з 1568 року до 1609 року.,,5,,rated,1.0
5710f2e2a58dae1900cd6b72,calibration,public-reused,У якій війні в Ірландії брали участь гугенотські полки?,вільгельмівській війні,В ірландській вільгельмівській війні.,,5,,rated,0.9
57111380a58dae1900cd6bd6,calibration,public-reused,Who was one French pro-reform Roman Catholic of the 15th century? ,Жак Лефевр,Жак Лефевр.,,5,,rated,1.0
57111713a58dae1900cd6c00,calibration,public-reused,Як еволюціонували релігійні переконання гугенотів у Новому Світі?,приєднувалися до інших протестантських конфесій,"В Новому світі гугеноти швидко адаптувалися до місцевих умов та часто одружувалися з особами інших протестантських конфесій. Це призвело до їх асиміляції, коли багато гугенотів приєдналися до інших протестантських конфесій. Їх нащадки продовжували використовувати французькі імена та прізвища для своїх дітей аж до 19 століття.",,5,,rated,0.8
571126dfa58dae1900cd6cb2,calibration,public-reused,Який перший справжній двигун виявився комерційно успішним?,паровий двигун,"Першим справжнім двигуном, який став комерційно успішним, був паровий двигун Томаса Савері.",,5,,rated,0.95
571135b8a58dae1900cd6d0e,calibration,public-reused,Який пристрій у більшості парових двигунів використовується для рециркуляції води в котлі?,водяний насос,Водяний насос.,,5,,rated,1.0
57113be3a58dae1900cd6d28,calibration,public-reused,Хто в 1781 році отримав патент на паровий двигун?,Джеймс Ватт,Джеймс Ватт.,,5,,rated,1.0
57114667a58dae1900cd6d80,calibration,public-reused,Який прилад використовують для аналізу роботи парових двигунів?,індикатор парового двигуна,Індикатор парового двигуна.,,5,,rated,1.0
57114dfb50c2381900b54a53,calibration,public-reused,Що відбувається з робочою рідиною в закритій системі?,безпосередньо випускається,"Робоча рідина в циклі Ренкіна нагрівається та перетворюється на пару в котлі, потім розширюється через поршні або турбіни, виконується механічна робота. Знижений тиск пари конденсується та знову подається в котел.",,5,,rated,0.9
57114f0050c2381900b54a65,calibration,public-reused,Які пристрої вважаються рушійною силою Промислової Революції?,Парові двигуни,Парові двигуни.,,5,,rated,0.9
571155ae2419e31400955591,calibration,public-reused,Що є термодинамічною підставою парової машини?,Цикл Ренкіна,Цикл Ренкіна.,,5,,rated,0.8
57115b2850c2381900b54a7f,calibration,public-reused,Хто розробив перший комерційний паропривідний пристрій?,Томасом Савері,Томас Савері.,,5,,rated,1.0
57115c7450c2381900b54a9d,calibration,public-reused,"Що використовують парові турбіни на електростанціях як холодильний резервуар, якщо не застосовується когенерація (CHP)?",поверхневі конденсатори,Конденсатори.,,5,,rated,1.0
57115e532419e314009555af,calibration,public-reused,Після якого року у водяних двигунах часто застосовувалося зростання?,1880,1880 рік.,,5,,rated,1.0
